PART_KEYWORD,PART_NUMBER,BUCKET_TYPE,PART_COST_AMT,PART_PRICE_AMT,PART_QTY,COST,MODULE,Work order,ESN,GATE_NUMBER,SHOP_NAME,SHOP_VISIT_TYPE_NAME,CURRENT_GATE_DESC,ENG_MODEL_NM,COST_IND,INCL_QUANTITY,EXCL_QUANTITY,INCL_PRICE,EXCL_PRICE,INCL_COST,EXCL_COST,TYPE,FM_YEAR,EXCL_TYPE,COMMENTS,ESC_TRUE_GE_COST_AMT,PART_TRUE_COST_AMT
BLADE - BOOSTER STG 2,340-057-201-0,External Repair,0,0,0,0,21X,P70311,895364,10000,Wales,NTE,Gate 2,CFM56-7,A,0,0,0,0,0,0,BUM,2014,Scrap,,,
BLADE - BOOSTER STG 2,340-057-201-0,Internal Repair,1437.62,5164.64,70.0188,1437.62,21X,P70311,895364,10000,Wales,NTE,Gate 2,CFM56-7,A,70.01879883,0,5164.643547,0,1437.6237,0,BUM,2014,Scrap,,,
BLADE - BOOSTER STG 2,340-057-201-0,Non LLP New Material,360.99,639.87,0.4107,360.99,21X,P70311,895364,10000,Wales,NTE,Gate 2,CFM56-7,A,2.775000095,-2.364300013,586.6843371,0,360.9858398,0,BUM,2014,Scrap,,126.84,
BLADE - BOOSTER STG 2,340-057-201-0,Non LLP Used Material,136.89,136.89,0.1369,136.89,21X,P70311,895364,10000,Wales,NTE,Gate 2,CFM56-7,A,0.925000012,-0.788100064,136.8891565,0,136.8891565,0,BUM,2014,Scrap,,,
VANE - BOOSTER STG 2,335-192-202-0,External Repair,0,0,0,0,21X,P70311,895364,10000,Wales,NTE,Gate 2,CFM56-7,A,0,0,0,0,0,0,BUM,2014,Scrap,,,
VANE - BOOSTER STG 2,335-192-202-0,Internal Repair,4092.84,14703.41,0.8901,4092.84,21X,P70311,895364,10000,Wales,NTE,Gate 2,CFM56-7,A,0.890100002,0,14703.41279,0,4092.841385,0,BUM,2014,Scrap,,,
VANE - BOOSTER STG 2,335-192-202-0,Non LLP New Material,229.19,1092.08,0.0068,229.19,21X,P70311,895364,10000,Wales,NTE,Gate 2,CFM56-7,A,0.037500001,-0.030750001,993.9367989,0,229.1936555,0,BUM,2014,Scrap,,216.45,
VANE - BOOSTER STG 2,335-192-202-0,Non LLP Used Material,231.92,231.92,0.0022,231.92,21X,P70311,895364,10000,Wales,NTE,Gate 2,CFM56-7,A,0.0125,-0.01025,231.9185888,0,231.9185888,0,BUM,2014,Scrap,,,
BLADE - BOOSTER STG 4,340-057-401-0,External Repair,0,0,0,0,21X,P70311,895364,10000,Wales,NTE,Gate 2,CFM56-7,A,0,0,0,0,0,0,BUM,2014,Scrap,,,
BLADE - BOOSTER STG 4,340-057-401-0,Internal Repair,1118.73,4019.01,71.373,1118.73,21X,P70311,895364,10000,Wales,NTE,Gate 2,CFM56-7,A,71.3730011,0,4019.010665,0,1118.729975,0,BUM,2014,Scrap,,,
BLADE - BOOSTER STG 4,340-057-401-0,Non LLP New Material,697.6,1236.52,0.8714,697.6,21X,P70311,895364,10000,Wales,NTE,Gate 2,CFM56-7,A,2.775000095,-1.903649926,1133.777956,0,697.602356,0,BUM,2014,Scrap,,245.14,
BLADE - BOOSTER STG 4,340-057-401-0,Non LLP Used Material,264.55,264.55,0.2905,264.55,21X,P70311,895364,10000,Wales,NTE,Gate 2,CFM56-7,A,0.925000012,-0.634549975,264.5520404,0,264.5520404,0,BUM,2014,Scrap,,,
VANE - BOOSTER STG 3,340-058-302-0,External Repair,0,0,0,0,21X,P70311,895364,10000,Wales,NTE,Gate 2,CFM56-7,A,0,0,0,0,0,0,BUM,2014,Scrap,,,
VANE - BOOSTER STG 3,340-058-302-0,Internal Repair,4735.5,17012.17,0.9453,4735.5,21X,P70311,895364,10000,Wales,NTE,Gate 2,CFM56-7,A,0.945299983,0,17012.1664,0,4735.496951,0,BUM,2014,Scrap,,,
VANE - BOOSTER STG 3,340-058-302-0,Non LLP New Material,701.98,3319.65,0.0135,701.98,21X,P70311,895364,10000,Wales,NTE,Gate 2,CFM56-7,A,0.037500001,-0.024,3044.322288,0,701.9813818,0,BUM,2014,Scrap,,658.03,
VANE - BOOSTER STG 3,340-058-302-0,Non LLP Used Material,710.34,710.34,0.0045,710.34,21X,P70311,895364,10000,Wales,NTE,Gate 2,CFM56-7,A,0.0125,-0.008,710.3418484,0,710.3418484,0,BUM,2014,Scrap,,,
BLADE - BOOSTER STG 3,340-057-301-0,External Repair,0,0,0,0,21X,P70311,895364,10000,Wales,NTE,Gate 2,CFM56-7,A,0,0,0,0,0,0,BUM,2014,Scrap,,,
BLADE - BOOSTER STG 3,340-057-301-0,Internal Repair,1157.4,4157.94,73.0938,1157.4,21X,P70311,895364,10000,Wales,NTE,Gate 2,CFM56-7,A,73.09379578,0,4157.94081,0,1157.401875,0,BUM,2014,Scrap,,,
BLADE - BOOSTER STG 3,340-057-301-0,Non LLP New Material,376.25,667.27,0.4621,376.25,21X,P70311,895364,10000,Wales,NTE,Gate 2,CFM56-7,A,2.924999952,-2.462850094,611.50382,0,376.2524109,0,BUM,2014,Scrap,,132.23,
BLADE - BOOSTER STG 3,340-057-301-0,Non LLP Used Material,142.69,142.69,0.154,142.69,21X,P70311,895364,10000,Wales,NTE,Gate 2,CFM56-7,A,0.975000024,-0.820950031,142.6888603,0,142.6888603,0,BUM,2014,Scrap,,,
BLADE - FAN,340-161-303-0,External Repair,17250.08,17250.08,11.5656,17250.08,21X,P70311,895364,10000,Wales,NTE,Gate 2,CFM56-7,A,11.5656004,0,17250.08109,0,17250.08109,0,BUM,2014,Scrap,,,
BLADE - FAN,340-161-303-0,Internal Repair,0,0,0,0,21X,P70311,895364,10000,Wales,NTE,Gate 2,CFM56-7,A,0,0,0,0,0,0,BUM,2014,Scrap,,,
BLADE - FAN,340-161-303-0,Non LLP New Material,7185.56,11781.08,0.126,7185.56,21X,P70311,895364,10000,Wales,NTE,Gate 2,CFM56-7,A,0.450000018,-0.324000001,11781.08069,0,7185.561523,0,BUM,2014,Scrap,,2298.64,
